vcf,sample,status,src
LP6005441-DNA_H10.annotated.nh.vcf.gz,LP6005441-DNA_H10, OK,LP6005441-DNA_H10.vfy
LP6005441-DNA_H11.annotated.nh.vcf.gz,LP6005441-DNA_H11, OK,LP6005441-DNA_H11.vfy
LP6005441-DNA_H12.annotated.nh.vcf.gz,LP6005441-DNA_H12, OK,LP6005441-DNA_H12.vfy
LP6005442-DNA_A02.annotated.nh.vcf.gz,LP6005442-DNA_A02, OK,LP6005442-DNA_A02.vfy
LP6005442-DNA_A03.annotated.nh.vcf.gz,LP6005442-DNA_A03, OK,LP6005442-DNA_A03.vfy
LP6005442-DNA_A04.annotated.nh.vcf.gz,LP6005442-DNA_A04, OK,LP6005442-DNA_A04.vfy
LP6005442-DNA_A08.annotated.nh.vcf.gz,LP6005442-DNA_A08, OK,LP6005442-DNA_A08.vfy
LP6005442-DNA_A10.annotated.nh.vcf.gz,LP6005442-DNA_A10, OK,LP6005442-DNA_A10.vfy
LP6005442-DNA_A11.annotated.nh.vcf.gz,LP6005442-DNA_A11, OK,LP6005442-DNA_A11.vfy
LP6005442-DNA_A12.annotated.nh.vcf.gz,LP6005442-DNA_A12, OK,LP6005442-DNA_A12.vfy
LP6005442-DNA_B01.annotated.nh.vcf.gz,LP6005442-DNA_B01, OK,LP6005442-DNA_B01.vfy
LP6005442-DNA_B02.annotated.nh.vcf.gz,LP6005442-DNA_B02, OK,LP6005442-DNA_B02.vfy
LP6005442-DNA_B03.annotated.nh.vcf.gz,LP6005442-DNA_B03, OK,LP6005442-DNA_B03.vfy
LP6005442-DNA_B04.annotated.nh.vcf.gz,LP6005442-DNA_B04, OK,LP6005442-DNA_B04.vfy
LP6005442-DNA_B08.annotated.nh.vcf.gz,LP6005442-DNA_B08, OK,LP6005442-DNA_B08.vfy
LP6005442-DNA_B10.annotated.nh.vcf.gz,LP6005442-DNA_B10, OK,LP6005442-DNA_B10.vfy
LP6005442-DNA_B11.annotated.nh.vcf.gz,LP6005442-DNA_B11, OK,LP6005442-DNA_B11.vfy
LP6005442-DNA_B12.annotated.nh.vcf.gz,LP6005442-DNA_B12, OK,LP6005442-DNA_B12.vfy
LP6005442-DNA_C02.annotated.nh.vcf.gz,LP6005442-DNA_C02, OK,LP6005442-DNA_C02.vfy
LP6005442-DNA_C04.annotated.nh.vcf.gz,LP6005442-DNA_C04, OK,LP6005442-DNA_C04.vfy
LP6005442-DNA_C07.annotated.nh.vcf.gz,LP6005442-DNA_C07, OK,LP6005442-DNA_C07.vfy
LP6005442-DNA_C10.annotated.nh.vcf.gz,LP6005442-DNA_C10, OK,LP6005442-DNA_C10.vfy
LP6005442-DNA_C11.annotated.nh.vcf.gz,LP6005442-DNA_C11, OK,LP6005442-DNA_C11.vfy
LP6005442-DNA_D01.annotated.nh.vcf.gz,LP6005442-DNA_D01, OK,LP6005442-DNA_D01.vfy
LP6005442-DNA_D02.annotated.nh.vcf.gz,LP6005442-DNA_D02, OK,LP6005442-DNA_D02.vfy
LP6005442-DNA_D03.annotated.nh.vcf.gz,LP6005442-DNA_D03, OK,LP6005442-DNA_D03.vfy
LP6005442-DNA_D08.annotated.nh.vcf.gz,LP6005442-DNA_D08, OK,LP6005442-DNA_D08.vfy
LP6005442-DNA_D09.annotated.nh.vcf.gz,LP6005442-DNA_D09, OK,LP6005442-DNA_D09.vfy
LP6005442-DNA_D10.annotated.nh.vcf.gz,LP6005442-DNA_D10, OK,LP6005442-DNA_D10.vfy
LP6005442-DNA_D11.annotated.nh.vcf.gz,LP6005442-DNA_D11, OK,LP6005442-DNA_D11.vfy
LP6005442-DNA_E04.annotated.nh.vcf.gz,LP6005442-DNA_E04, OK,LP6005442-DNA_E04.vfy
LP6005442-DNA_E07.annotated.nh.vcf.gz,LP6005442-DNA_E07, OK,LP6005442-DNA_E07.vfy
LP6005442-DNA_E10.annotated.nh.vcf.gz,LP6005442-DNA_E10, OK,LP6005442-DNA_E10.vfy
LP6005442-DNA_E11.annotated.nh.vcf.gz,LP6005442-DNA_E11, OK,LP6005442-DNA_E11.vfy
LP6005442-DNA_E12.annotated.nh.vcf.gz,LP6005442-DNA_E12, OK,LP6005442-DNA_E12.vfy
LP6005442-DNA_F01.annotated.nh.vcf.gz,LP6005442-DNA_F01, OK,LP6005442-DNA_F01.vfy
LP6005442-DNA_F02.annotated.nh.vcf.gz,LP6005442-DNA_F02, OK,LP6005442-DNA_F02.vfy
LP6005442-DNA_F04.annotated.nh.vcf.gz,LP6005442-DNA_F04, OK,LP6005442-DNA_F04.vfy
